fecha,anio,mes,dia_semana,hora3,fallecidos,CANTIDAD DE LESIONADOS,CLASE SINIESTRO,CAUSA FACTOR PRINCIPAL,SUPERFICIE DE CALZADA,TIPO DE VÍA,RED VIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,lat,lon,"('ruta',)",km_red
2021-01-23,2021,1,5,0,1,1,CHOQUE FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,JUNIN,CONCEPCION,CONCEPCION,-11.9108847,-75.3279751,PE-3S,101.73829029532796
2021-01-23,2021,1,5,0,1,2,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,-14.90459240150889,-69.7541340962868,PE-34H,101.52592167795568
2021-01-23,2021,1,5,0,1,1,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,AYACUCHO,HUAMANGA,VINCHOS,-13.341398,-74.538772,PE-28A,262.85274341163034
2021-01-23,2021,1,5,0,1,0,ATROPELLO,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,LIMA,LIMA,PUENTE PIEDRA,-11.897187,-77.067866,PE-1N,26.686217721631547
2021-01-23,2021,1,5,0,1,0,ATROPELLO,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,CUSCO,URUBAMBA,OLLANTAYTAMBO,-13.258314,-72.250823,PE-28B,605.1133499724187
2021-01-23,2021,1,5,0,2,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,AREQUIPA,AREQUIPA,CERRO COLORADO,-16.3944495,-71.5835,PE-34A,37.1644788348742
2021-01-24,2021,1,6,0,1,0,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,ICA,ICA,SANTIAGO,-14.278243270178807,-75.68278177837077,PE-1S,322.7281962124775
2021-01-24,2021,1,6,0,1,5,CHOQUE,IMPRUDENCIA DEL CONDUCTOR,ASFALTADA,CARRETERA,NACIONAL,SAN MARTIN,PICOTA,PICOTA,-6.9250035300956325,-76.34251605692607,PE-5N,882.6132295378071
2021-01-24,2021,1,6,0,1,0,DESPISTE,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,CALLAO,CALLAO,VENTANILLA,-11.881892360721375,-77.12626527470516,PE-20,6.591130901696012
2021-01-26,2021,1,1,0,1,0,ATROPELLO FUGA,EN PROCESO DE INVESTIGACIÓN,ASFALTADA,CARRETERA,NACIONAL,ICA,PISCO,TUPAC AMARU INCA,-13.706171,-76.151294,PE-1S,224.9969808034265
