id,ruta,km0,km1,region,siniestros,fallecidos,onsv_n,sutran_n,ositran_n,siniestros_km,pred_km,eb_km,exceso_eb,exceso_relativo,p95_region,fuente_dominante,criterios,lat,lon
1018,PE-1S,150.23,151.0,COSTA,12,1000000010,0,10,2,15.584415584415376,15.584415584415376,15.584415584415376,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-13.161498673999944,-76.36882259749993
1017,PE-1S,130.695,131.0,COSTA,17,1012000011000000,0,16,1,55.73770491803154,55.73770491803154,55.73770491803154,0.0,0.0,12.478043810208932,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-13.023346107999911,-76.47535851199993
1025,PE-18A,122.307,122.525,SELVA,3,10,0,3,0,13.761467889908035,13.761467889908035,13.761467889908035,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-9.303776771999935,-76.00340356899991
1080,PE-3N,86.375,86.987,SIERRA,7,3,0,7,0,11.437908496732124,11.437908496732124,11.437908496732124,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.89619511649994,-76.07806980499993
1105,PE-22,133.889,134.109,SIERRA,21,1000000000000000,0,21,0,95.45454545454595,95.45454545454595,95.45454545454595,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.595827499499933,-76.18601352749994
1022,PE-1S,6.811,7.692,COSTA,11,7,6,2,3,12.485811577752552,12.485811577752552,12.485811577752552,0.0,0.0,12.478043810208932,ONSV,"{'p95': True, 'eb': False, 'residual': False}",-12.12019861199994,-76.9772754089999
1150,PE-22,175.058,175.134,SIERRA,4,0,0,4,0,52.63157894737299,52.63157894737299,52.63157894737299,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-11.522809478499935,-75.90962667599993
1180,PE-3N,500.622,500.679,SIERRA,4,0,0,4,0,70.17543859654106,70.17543859654106,70.17543859654106,0.0,0.0,5.026490400963105,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-10.12180449999991,-77.29337304799995
1212,PE-08B,312.715,312.758,SELVA,6,0,0,6,0,139.53488372090956,139.53488372090956,139.53488372090956,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-6.225330352999947,-77.91172599799992
1222,PE-06A,179.778,180.234,SELVA,3,0,0,3,0,6.5789473684208035,6.5789473684208035,6.5789473684208035,0.0,0.0,3.547021890759571,SUTRAN,"{'p95': True, 'eb': False, 'residual': False}",-6.483676641999949,-78.89882607799993
